image_id,identity,path,bbox,keypoints,original_split,processed_path
0004d0b59e19461f,34,atrw_reid_train/train/001970.jpg,,"[326  77   2 283  86   2 331 141   2 210 174   2 230 253   2 279 180   2
 316 271   2  83 133   2  31 154   2  22 200   2 125 162   2 105 196   2
 146 230   2  80  63   2 206 102   2]",train,./data/segmented_dataset/34
000871c1fc726f0b,177,atrw_reid_train/train/004612.jpg,,"[127  57   2 144  82   2  93 149   2 264 183   2 294 278   2 206 170   2
 150 270   2   0   0   0 427 206   2 393 252   2 427 137   2 467 216   2
 425 264   2 460  59   2 276 104   2]",train,./data/segmented_dataset/177
00411460f7c92d21,112,atrw_reid_test/test/000363.jpg,,"[  0   0   0 537  28   2 562  77   2 437 135   2 471 236   2   0   0   0
   0   0   0 234 125   2 225 217   2 283 250   2 178 152   2 112 192   2
 125 248   2 162  63   2 362  70   2]",test,./data/segmented_dataset/112
0060ef47b12160b9,18,atrw_reid_test/test/003492.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",test,./data/segmented_dataset/18
006f52e9102a8d3b,19,atrw_reid_test/test/000168.jpg,,"[1345  170    2 1520  238    2 1471  400    2 1216  545    2 1268  746
    2  844  589    2  791  758    2  386  585    2  221  764    2  400
  872    2    0    0    0    0    0    0  506  772    2  227  288    2
  849  344    2]",test,./data/segmented_dataset/19
007d4a1214289aea,144,atrw_reid_test/test/004713.jpg,,"[105 139   2   0   0   0 120 267   2 331 308   2 303 403   2 241 272   2
 212 428   2 546 406   2 582 504   2 462 558   2 615 367   2 732 435   2
 745 544   2 707 278   2 413 273   2]",test,./data/segmented_dataset/144
0084ae4bc24c0795,177,atrw_reid_train/train/003373.jpg,,"[151  33   2 132  17   2  84  99   2 177 129   2  82 229   2 268 137   2
 270 242   2 413 135   2 443 205   2 405 242   2 462 121   2 528 165   2
 537 226   2 495  54   2 289  76   2]",train,./data/segmented_dataset/177
008bd5ad93b754d5,153,atrw_reid_train/train/001994.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",train,./data/segmented_dataset/153
00ac8ed3b4327bdd,147,atrw_reid_test/test/000610.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",test,./data/segmented_dataset/147
00b76fddeaaa7d8c,208,atrw_reid_train/train/004497.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",train,./data/segmented_dataset/208
00ec53c4682d36f5,27,atrw_reid_train/train/000381.jpg,,"[  88  224    2   87  151    2   41  377    2  328  384    2  251  581
    2  425  341    2  571  573    2    0    0    0 1043  403    2 1014
  509    2  871  290    2 1006  414    2  919  560    2  991   90    2
  516  233    2]",train,./data/segmented_dataset/27
01161aaa0b6d1345,243,atrw_reid_train/train/000236.jpg,,"[135 107   2  66  97   2  39 203   2 298 256   2 312 370   2 222 239   2
 133 360   2 431 247   2 443 311   2 352 349   2 547 223   2 573 302   2
 527 372   2 593 128   2 316 166   2]",train,./data/segmented_dataset/243
01386bd6d8e091c2,109,atrw_reid_train/train/000348.jpg,,"[  0   0   0 600  72   2 643 184   2 459 178   2 487 319   2   0   0   0
 427 293   2 147 133   2  53 236   2 105 301   2 207 191   2 187 267   2
 270 310   2  68  48   2 355 116   2]",train,./data/segmented_dataset/109
015e319335484610,163,atrw_reid_test/test/004029.jpg,,"[  0   0   0 243  26   2 241  92   2 186 146   2 164 207   2 145 163   2
 172 223   2 110 149   2 101 219   2   0   0   0   0   0   0  22 244   2
   0   0   0  64  85   2 152  89   2]",test,./data/segmented_dataset/163
01882513d5fa7c32,178,atrw_reid_train/train/000899.jpg,,"[491  93   2 508 109   2 526 179   2 423 204   2 464 304   2 323 206   2
 282 295   2 166 158   2 108 246   2 139 300   2   0   0   0 116 210   2
 149 280   2 110 104   2 318 141   2]",train,./data/segmented_dataset/178
0188e8b8b014829e,270,atrw_reid_test/test/001195.jpg,,"[ 17  36   2   0   0   0   0   0   0  93  95   2 112 128   2  54  90   2
  31 128   2   0   0   0   0   0   0 169 112   2 170  70   2 185 105   2
 173 123   2 194  30   2   0   0   0]",test,./data/segmented_dataset/270
0189caa552598b84,96,atrw_reid_train/train/002045.jpg,,"[157  38   2 193  20   2 103  16   2   0   0   0   0   0   0  98 136   2
  33  80   2   0   0   0 142 418   2   0   0   0 119 346   2 132 431   2
  56 439   2 199 361   2 151 189   2]",train,./data/segmented_dataset/96
018b59ce1fd616d8,12,atrw_reid_train/train/001283.jpg,,"[ 61 292   2   0   0   0  63 455   2 479 406   2 448 546   2 301 390   2
 146 544   2 712 370   2 765 471   2 632 527   2 846 308   2 984 426   2
 890 546   2 903 154   2 483 305   2]",train,./data/segmented_dataset/12
018dd1e07a2de4a0,234,atrw_reid_test/test/003550.jpg,,"[ 84  33   2  40  31   2  20 103   2 223 171   2 286 279   2 155 159   2
  82 275   2   0   0   0 407 218   2 355 272   2 424 138   2 488 221   2
 447 287   2 474  61   2 247  82   2]",test,./data/segmented_dataset/234
01931a6925d3de09,250,atrw_reid_train/train/002113.jpg,,"[341  20   2 380  20   2 422  55   2 303 188   2 343 293   2   0   0   0
 351 281   2  74 164   2  28 230   2  53 281   2 116 188   2  95 251   2
 147 277   2  55  91   2 238  73   2]",train,./data/segmented_dataset/250
019d385eb67632a7,211,atrw_reid_train/train/000433.jpg,,"[  0   0   0 484 102   2 512 196   2 346 242   2 396 380   2   0   0   0
 260 312   2  71 155   2  35 208   2  80 271   2 159 197   2 155 239   2
 196 290   2   0   0   0   0   0   0]",train,./data/segmented_dataset/211
019f8b946a256d93,156,atrw_reid_test/test/003125.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",test,./data/segmented_dataset/156
01d8bae291b1e472,4,atrw_reid_test/test/001457.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",test,./data/segmented_dataset/4
01e00f2f4bfcbb75,193,atrw_reid_test/test/001700.jpg,,"[  0   0   0 642 109   2 779 304   2 450 377   2   0   0   0 539 359   2
   0   0   0  72 266   2   4 360   2  42 461   2 232 336   2 216 412   2
   0   0   0  52 105   2 415 205   2]",test,./data/segmented_dataset/193
01f78be6f7cad026,240,atrw_reid_train/train/000550.jpg,,"[ 51  83   2   0   0   0  22 167   2   0   0   0 105 292   2 178 184   2
 214 273   2 381 156   2 445 244   2 397 294   2 313 164   2 305 249   2
 251 289   2 405  80   2 213 123   2]",train,./data/segmented_dataset/240
020bf2c45e7bb322,57,atrw_reid_train/train/002419.jpg,,"[ 228  368    2  160  279    2  114  560    2    0    0    0  449  757
    2  520  640    2  512  884    2    0    0    0 1113  431    2  981
  593    2 1058  335    2 1084  485    2  988  649    2 1182  151    2
  648  355    2]",train,./data/segmented_dataset/57
020c8bfac8de160d,10,atrw_reid_test/test/001559.jpg,,"[  0   0   0 581 107   2 563 211   2 424 232   2 410 358   2   0   0   0
 500 365   2 236 224   2 233 349   2 313 403   2 156 243   2  92 365   2
 146 427   2 121 154   2 342 183   2]",test,./data/segmented_dataset/10
02180771a9b609a2,169,atrw_reid_test/test/002951.jpg,,"[  0   0   0 286  91   2 315 117   2 227 143   2 240 194   2 250 148   2
 269 189   2 101 132   2  69 156   2  71 180   2 144 144   2 134 175   2
 155 194   2 101 105   2 208 111   2]",test,./data/segmented_dataset/169
022400dffec5b447,97,atrw_reid_train/train/004843.jpg,,"[427  18   2 435  34   2 461 124   2 306 181   2 339 307   2   0   0   0
 364 298   2  79 134   2  64 231   2 129 285   2   0   0   0  25 218   2
  63 265   2  41  30   2 251  77   2]",train,./data/segmented_dataset/97
0233f3bb964cf325,261,atrw_reid_train/train/002262.jpg,,"[242  52   2 267  47   2 140 163   2 520 300   2 520 432   2 339 245   2
 222 426   2   0   0   0 899 353   2 830 436   2 805 266   2 896 375   2
 813 465   2 896 105   2 518 134   2]",train,./data/segmented_dataset/261
0266e33d3f546cb5,246,atrw_reid_train/train/000245.jpg,,"[170  67   2  66  78   2 105 179   2 153 291   2 126 426   2 226 295   2
 178 412   2   0   0   0   0   0   0   0   0   0   0   0   0 387 363   2
   0   0   0 405 168   2 255 173   2]",train,./data/segmented_dataset/246
026a39ae63343c68,172,atrw_reid_train/train/002593.jpg,,"[187 102   2 162 105   2 181 136   2 128 163   2 131 203   2 170 160   2
 181 206   2  80 147   2  65 164   2  65 185   2 100 153   2   0   0   0
   0   0   0  75 119   2 128 128   2]",train,./data/segmented_dataset/172
02a32ad2669e6fe2,0,atrw_reid_train/train/000841.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",train,./data/segmented_dataset/0
02ae6a786bbf135d,199,atrw_reid_test/test/003810.jpg,,"[449  85   2 399  90   2 490 172   2 320 220   2 370 330   2   0   0   0
 274 283   2 106 139   2  63 201   2  90 252   2 195 192   2 194 241   2
 230 288   2  90  69   2 290 120   2]",test,./data/segmented_dataset/199
02b5b45ce743bc3f,267,atrw_reid_train/train/004872.jpg,,"[121  83   2   0   0   0  21 188   2   0   0   0 196 414   2 348 251   2
 282 386   2   0   0   0 609 341   2 590 412   2 557 227   2 567 378   2
 490 442   2 636 142   2 329 165   2]",train,./data/segmented_dataset/267
02e656adee09f839,156,atrw_reid_test/test/002215.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",test,./data/segmented_dataset/156
02e74f10e0327ad8,118,atrw_reid_test/test/000027.jpg,,"[353  44   2 391  48   2   0   0   0 307 205   2 316 301   2 263 239   2
 276 307   2 135 194   2 102 266   2   0   0   0   0   0   0   0   0   0
   0   0   0  80 101   2   0   0   0]",test,./data/segmented_dataset/118
02f039058bd48307,121,atrw_reid_test/test/001707.jpg,,"[814 126   2 717 134   2 806 244   2 588 339   2 621 491   2   0   0   0
   0   0   0 269 227   2 257 372   2 335 438   2   0   0   0 239 342   2
   0   0   0 182 106   2 494 175   2]",test,./data/segmented_dataset/121
02f657d55eaf1c48,162,atrw_reid_test/test/002569.jpg,,"[157  40   2 105  36   2  60 111   2   0   0   0   0   0   0 255 237   2
   0   0   0   0   0   0   0   0   0   0   0   0 498 224   2 572 294   2
   0   0   0 564 116   2 312 114   2]",test,./data/segmented_dataset/162
030e65da2b1c9440,159,atrw_reid_test/test/002751.jpg,,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0]",test,./data/segmented_dataset/159
0314c9b108b8c39f,90,atrw_reid_train/train/004131.jpg,,"[229 342   2 114 355   2  67 608   2 523 549   2 542 667   2 424 491   2
 124 733   2 781 363   2 815 441   2 700 513   2 866 283   2 873 438   2
 815 567   2 962 116   2 514 362   2]",train,./data/segmented_dataset/90
032dd17b77fab7d5,213,atrw_reid_train/train/003242.jpg,,"[ 79  39   2  98  19   2  22 112   2 258 226   2 308 278   2 210 219   2
 156 314   2 433 194   2 432 254   2 385 281   2 518 178   2 572 244   2
 544 301   2 548  60   2 285  86   2]",train,./data/segmented_dataset/213
0336dcbab05b9d5a,246,atrw_reid_train/train/000195.jpg,,"[199  42   2  18  63   2  72 244   2   0   0   0   0   0   0 390 464   2
 208 732   2   0   0   0   0   0   0 762 622   2 772 398   2 868 580   2
 745 704   2 901 244   2 486 244   2]",train,./data/segmented_dataset/246
037a595e6f4f0576,252,atrw_reid_train/train/005123.jpg,,"[ 83 135   2  45 133   2  60 261   2 196 246   2 162 326   2 282 193   2
 328 362   2 558 169   2 645 261   2 602 333   2 500 134   2 491 284   2
 389 337   2 608  38   2 334 149   2]",train,./data/segmented_dataset/252
038d5463327addf9,93,atrw_reid_test/test/004847.jpg,,"[119  -2   2 180  28   2  97  89   2   0   0   0   0   0   0  83 131   2
  91 190   2   0   0   0   0   0   0  96 321   2 168 389   2 265 496   2
 140 463   2 255 355   2 176 222   2]",test,./data/segmented_dataset/93
0397758f8990c1b4,84,atrw_reid_test/test/004617.jpg,,"[ 56  46   2   0   0   0   6  61   2  86 166   2  61 207   2  71 144   2
  30 200   2   0   0   0   0   0   0   0   0   0 194 112   2 216 164   2
 185 197   2 242  73   2 124  67   2]",test,./data/segmented_dataset/84
03afdbd66e7929b1,18,atrw_reid_test/test/000063.jpg,,"[ 22  54   2   0   0   0 -12 195   2 186 255   2 142 389   2 233 238   2
 305 364   2 513 208   2 613 301   2 593 363   2 420 202   2 413 317   2
 345 371   2 548  70   2 268 132   2]",test,./data/segmented_dataset/18
03bfc1d4783966c6,39,atrw_reid_train/train/003035.jpg,,"[ 90 253   2  72 230   2  45 407   2 368 417   2 418 574   2 277 398   2
 201 556   2 576 391   2 610 481   2 503 568   2 687 331   2 790 459   2
 726 574   2 693 155   2 369 281   2]",train,./data/segmented_dataset/39
03c6b06952c75089,244,atrw_reid_train/train/000252.jpg,,"[  0   0   0 358 137   2 346 208   2 250 154   2 288 208   2 217 154   2
 225 200   2 163 140   2 154 179   2 210 207   2 126 136   2 117 172   2
 142 207   2  71  67   2 209 138   2]",train,./data/segmented_dataset/244
03e0704b5690a2de,268,atrw_reid_train/train/001019.jpg,,"[  0   0   0 381 120   2 365 193   2 317 150   2 367 236   2 235 162   2
 246 231   2 107 116   2  71 200   2 125 245   2  73 132   2  27 163   2
  54 231   2  57  29   2 211 111   2]",train,./data/segmented_dataset/268
03e7d2ebec1e820a,100,atrw_reid_train/train/001950.jpg,,"[1214  171    2 1089  192    2 1192  387    2  932  422    2 1067  602
    2  798  431    2  800  567    2  418  289    2  307  468    2  425
  590    2    0    0    0  293  330    2    0    0    0  300  138    2
  746  262    2]",train,./data/segmented_dataset/100
03e7ef47cee6fa4a,166,atrw_reid_test/test/002454.jpg,,"[212  -5   2 230   2   2 257  33   2 188  92   2 193 145   2   0   0   0
 160 134   2  76  94   2  60 136   2  85 150   2   0   0   0  35 127   2
  59 148   2  37  47   2 147  40   2]",test,./data/segmented_dataset/166
